time,close,high,low,open,volumefrom,volumeto
1515681840,1197.85,1199.65,1197.46,1198.12,406.6,490077.26
1515681900,1198.36,1199.17,1196.48,1197.85,415.94,499564.66
1515681960,1198.53,1199.42,1197.02,1197.74,360.44,433644.49
1515682020,1199.84,1200.48,1198.53,1198.53,392.52,472695.13
1515682080,1201.61,1201.77,1199.59,1199.84,512.27,626426.66
1515682140,1200.65,1202.45,1200.65,1201.61,1088.56,1306578.73
1515682200,1198.02,1200.64,1196.25,1200.64,616.48,739969.13
1515682260,1196,1197.88,1195.53,1197.57,502.36,606089.32
1515682320,1193.35,1197.78,1193.18,1197.05,672.87,804161.88
1515682380,1192.34,1193.74,1191.77,1193.35,734.73,887009.16
1515682440,1190.41,1192.87,1190.35,1192.34,657.35,782542.83
1515682500,1189.53,1191.9,1188.63,1190.41,1063.68,1271239.9
1515682560,1189.95,1190.71,1188.63,1189.12,696.92,832164.41
1515682620,1191.98,1192.02,1189.69,1189.95,516.7,618193.3
1515682680,1194.45,1195.19,1191.98,1191.98,1038.08,1238315.09
1515682740,1199.61,1200.47,1194.27,1194.45,740.77,894118.13
1515682800,1202.64,1203.01,1199.64,1199.64,424.84,515474.76
1515682860,1207.14,1207.14,1202.64,1202.64,972.03,1174571.75
1515682920,1213.79,1213.79,1206.79,1207.2,1179.78,1431248.44
1515682980,1220.65,1220.67,1213.59,1213.79,1546.13,1891678.86
1515683040,1220.12,1221.52,1219.78,1220.65,771.08,942469.22
1515683100,1222.71,1222.94,1219.4,1220.53,1563.16,1909812.06
1515683160,1225.53,1226.03,1222.27,1222.71,1410.74,1729628.97
1515683220,1221.11,1226.15,1220.65,1225.57,1291.56,1579919.4
1515683280,1220.98,1221.42,1219.82,1221.04,1026.09,1257163.34
1515683340,1227.78,1227.78,1221.08,1221.63,887.73,1087940.95
1515683400,1226.42,1228.21,1225.86,1227.78,985.19,1210102.21
1515683460,1227.98,1228.02,1226.27,1226.34,515.26,634781.73
1515683520,1228.53,1229.34,1227.65,1227.96,771.56,951704.7
1515683580,1224.73,1228.71,1224.73,1228.53,1118.24,1370371.84
1515683640,1220.8,1225.53,1219.54,1224.5,818.63,1011625.15
1515683700,1227.39,1228.08,1220.76,1220.8,794.21,974609.37
1515683760,1231.52,1231.61,1227.29,1228.18,613.1,755571.29
1515683820,1235.24,1235.85,1230.29,1231.52,1040.64,1285032.99
1515683880,1232.54,1236.8,1232.17,1235.01,699.06,863007.47
1515683940,1231.34,1233.07,1229.69,1232.27,676.6,833542.44
1515684000,1232.65,1232.68,1230.41,1231.37,481.76,592620.64
1515684060,1232.79,1233.26,1231.24,1232.65,632.95,781458.46
1515684120,1234.07,1234.8,1232.65,1232.79,871.7,1072059.3
1515684180,1230.03,1234.74,1229.74,1234.07,844.69,1039077.59
1515684240,1226.44,1230.67,1226.3,1230.03,3592.26,4321859.55
1515684300,1230.62,1230.78,1224.57,1226.57,655.6,805599.73
1515684360,1231.16,1232.57,1230.57,1230.67,691.15,849542.65
1515684420,1231.05,1231.39,1229.72,1230.97,608.55,751306.54
1515684480,1232.21,1232.52,1230.82,1231.05,481.27,593307.18
1515684540,1233.99,1233.99,1231.58,1232.21,553.48,684292.99
1515684600,1234.49,1234.61,1233.45,1233.97,324.76,403100.87
1515684660,1235.38,1235.49,1234.06,1234.49,389.84,485270.36
1515684720,1231.82,1235.41,1231.79,1235.38,400.13,494767.55
1515684780,1229.1,1231.92,1229.1,1231.82,533.42,656593.13
1515684840,1229.67,1229.67,1226.81,1229.1,711.3,872385.79
1515684900,1227.88,1230.1,1227.68,1229.67,662.42,815917.41
1515684960,1225,1228.08,1224.07,1227.88,731.19,894727.89
1515685020,1225.98,1226.27,1224.63,1225,313.41,385040.4
1515685080,1225.97,1226.69,1225.31,1226.03,439.17,538688
1515685140,1224.54,1226.42,1224.37,1225.97,800.16,980021.83
1515685200,1226.54,1227.01,1224.51,1224.57,907.45,1111364.84
1515685260,1226.05,1227.11,1225.51,1226.54,654.07,801361.08
1515685320,1225.72,1226.81,1225.68,1226.05,700.92,858981.31
1515685380,1226.65,1226.71,1225.14,1225.72,412.47,505260.19
1515685440,1226.5,1226.87,1226.3,1226.64,167,205858.05
1515685500,1227.63,1227.63,1226.36,1226.47,337.89,414388.35
1515685560,1228.55,1228.65,1227.55,1227.63,611,749704.74
1515685620,1223.4,1228.55,1223.4,1228.55,811.69,995812.66
1515685680,1219.74,1223.4,1218.29,1223.4,748.5,915412.83
1515685740,1221.25,1221.59,1216.99,1219.67,755.25,924642.98
1515685800,1221.13,1223.31,1220.92,1221.22,442.02,540522.63
1515685860,1217.12,1221.19,1217.09,1221.13,455.04,554862.95
1515685920,1216.7,1217.39,1215.69,1216.89,474.47,576748.57
1515685980,1217.51,1217.9,1215.51,1216.19,478.75,583841.14
1515686040,1223.37,1223.76,1217.57,1217.57,522.16,638886.8
